surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CH4	0.0	[2917, 1534, 1534, 3019, 3019, 3019, 1306, 1306, 1306]	NIST
None	gas	H2O	0.0	[3657, 1595, 3756]	NIST
None	gas	H2	0.0	[4401]	NIST
None	gas	CO	2.53	[2170]	NIST
CoPt3	s	C	2.152	[468.3, 503.6, 522.4]	This work, 10.1063/1.4989511
CoPt3	t	C	2.922	[463.0, 487.6, 513.7]	This work, 10.1063/1.4989511
CoPt3	f	C	2.166	[317.9, 510.1, 521.2]	This work, 10.1063/1.4989511
CoPt3	s	CH	1.401	[356.6, 401.3, 528.4, 610.7, 637.6, 2906.1]	This work, 10.1063/1.4989511
CoPt3	t	CH	1.852	[367.9, 388.9, 568.5, 643.9, 696.1, 2958.0]	This work, 10.1063/1.4989511
CoPt3	f	CH	1.491	[299.9, 347.1, 400.2, 692.2, 739.5, 2896.6]	This work, 10.1063/1.4989511
CoPt3	s	CH2	0.843	[56, 289.2, 405.2, 498.9, 597.8, 716.6, 1294.3, 2874.0, 3011.2]	This work, 10.1063/1.4989511
CoPt3	t	CH2	1.341	[89.2, 185.8, 297.1, 456.4, 513.0, 705.4, 1339.5, 2647.4, 2968.4]	This work, 10.1063/1.4989511
CoPt3	s	CH3	0.494	[56, 56, 56, 252.1, 353.1, 623.3, 1119.6, 1304.3, 1358.3, 2748.0, 2813.4, 3037.3]	This work, 10.1063/1.4989511
CoPt3	t	CH3	0.947	[56, 56, 56, 350.3, 645.4, 679.9, 1117.1, 1381.2, 1400.0, 2903.6, 3002.2, 3016.1]	This work, 10.1063/1.4989511
CoPt3	s	CO	0.96	[198.2, 269.2, 390.7, 418.4, 489.8, 2002.2]	This work, 10.1063/1.4989511
CoPt3	t	CO	1.28	[207.7, 267.2, 413.5, 424.4, 465.6, 1978.8]	This work, 10.1063/1.4989511
CoPt3	t	H	-0.086	[402.8, 572.6, 1013.7]	This work, 10.1063/1.4989511
CoPt3	s	O	1.299	[380.0, 444.0, 537.6]	This work, 10.1063/1.4989511
CoPt3	t	O	1.948	[418.8, 449.2, 517.3]	This work, 10.1063/1.4989511
CoPt3	s	OH	0.301	[56, 274.3, 382.8, 657.2, 763.5, 3634.2]	This work, 10.1063/1.4989511
CoPt3	t	OH	0.964	[176.7, 305.8, 408.4, 679.3, 712.7, 3602.1]	This work, 10.1063/1.4989511
CoPt3	f	C-H	-10.0	[331.4, 512.6, 534.5, 585.5, 1010.5]	10.1063/1.4989511
CoPt3	s	C-H	-10.0	[331.4, 512.6, 534.5, 585.5, 1010.5]	10.1063/1.4989511
CoPt3	t	C-H	-10.0	[331.4, 512.6, 534.5, 585.5, 1010.5]	10.1063/1.4989511
CoPt3	f	C-OH	-10.0	[62.2, 268.2, 369.3, 408.9, 426.5, 748.8, 822.6, 3609.3]	10.1063/1.4989511
CoPt3	s	CH-H	-10.0	[56, 332.3, 376.8, 547.7, 640.6, 894.1, 1541.2, 2975.1]	10.1063/1.4989511
CoPt3	t	CH-H	-10.0	[56, 332.3, 376.8, 547.7, 640.6, 894.1, 1541.2, 2975.1]	10.1063/1.4989511
CoPt3	f	CH-H	-10.0	[56, 332.3, 376.8, 547.7, 640.6, 894.1, 1541.2, 2975.1]	10.1063/1.4989511
CoPt3	s	CH2-H	-10.0	[56, 56, 233.3, 506.4, 578.9, 789.0, 904.0, 1326.7, 1822.0, 2925.1, 3029.3]	10.1063/1.4989511
CoPt3	t	CH2-H	-10.0	[56, 56, 233.3, 506.4, 578.9, 789.0, 904.0, 1326.7, 1822.0, 2925.1, 3029.3]	10.1063/1.4989511
CoPt3	s	CH3-H	-10.0	[56, 56, 90.9, 157.9, 338.3, 699.0, 812.7, 1248.0, 1370.9, 1418.0, 1609.6, 2916.4, 2997.4, 3076.0]	10.1063/1.4989511
CoPt3	t	CH3-H	-10.0	[56, 56, 90.9, 157.9, 338.3, 699.0, 812.7, 1248.0, 1370.9, 1418.0, 1609.6, 2916.4, 2997.4, 3076.0]	10.1063/1.4989511
CoPt3	s	H-OH	-10.0	[56, 288.1, 331.0, 414.1, 533.0, 626.8, 1008.9, 3544.2]	10.1063/1.4989511
CoPt3	t	H-OH	-10.0	[56, 288.1, 331.0, 414.1, 533.0, 626.8, 1008.9, 3544.2]	10.1063/1.4989511
CoPt3	s	H2O-O	-10.0	[56, 120.8, 331.4, 439.9, 522.5, 542.4, 637.0, 758.6, 1315.4, 1512.6, 3709.1]	10.1063/1.4989511
CoPt3	t	H2O-O	-10.0	[56, 120.8, 331.4, 439.9, 522.5, 542.4, 637.0, 758.6, 1315.4, 1512.6, 3709.1]	10.1063/1.4989511
CoPt3	s	H2O-O-	-10.0	[56, 120.8, 331.4, 439.9, 522.5, 542.4, 637.0, 758.6, 1315.4, 1512.6, 3709.1]	10.1063/1.4989511
CoPt3	t	H2O-O-	-10.0	[56, 120.8, 331.4, 439.9, 522.5, 542.4, 637.0, 758.6, 1315.4, 1512.6, 3709.1]	10.1063/1.4989511
CoPt3	s	O-H	-10.0	[412.5, 428.8, 506.7, 550.3, 1069.4]	10.1063/1.4989511
CoPt3	t	O-H	-10.0	[412.5, 428.8, 506.7, 550.3, 1069.4]	10.1063/1.4989511
