Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
AgPd_SG187_0001_1_bridge1-s    2.883    2.901    0.89    2.26    8.0    2    -3.761    1.038    5.11    7.576    1.304    10.001    1.001    1.93    0.028    0.222    this work
AgPd_SG187_0001_1_bridge1-t    2.883    2.871    0.94    2.78    9.5    2    -1.482    1.364    5.11    8.337    0.562    9.305    0.835    2.2    0.936    0.117    this work
AgPd_SG187_0001_1_bridge2-s    2.883    2.886    0.89    2.26    7.0    2    -3.695    1.004    5.11    7.576    1.304    10.041    0.933    1.93    0.027    0.234    this work
AgPd_SG187_0001_1_bridge2-t-1    2.883    2.864    0.94    2.78    9.0    2    -1.463    1.273    5.11    8.337    0.562    9.298    0.797    2.2    1.01    0.114    this work
AgPd_SG187_0001_1_bridge2-t-2    2.883    2.916    0.89    2.26    9.0    2    -3.827    1.072    5.11    7.576    1.304    9.962    1.07    1.93    0.029    0.21    this work
AgPd_SG187_0001_1_fcc-s    2.883    2.906    0.89    2.26    8.333    3    -3.783    1.049    5.11    7.576    1.304    9.988    1.024    1.93    0.028    0.218    this work
AgPd_SG187_0001_1_fcc-t    2.883    2.869    0.94    2.78    9.333    3    -1.476    1.334    5.11    8.337    0.562    9.302    0.822    2.2    0.961    0.116    this work
AgPd_SG187_0001_1_four-fold-s    2.883    2.882    0.915    2.52    8.5    4    -2.599    1.23    5.11    7.957    0.933    9.676    0.903    2.065    0.444    0.177    this work
AgPd_SG187_0001_1_hcp-s    2.883    2.896    0.89    2.26    7.667    3    -3.739    1.027    5.11    7.576    1.304    10.014    0.978    1.93    0.027    0.226    this work
AgPd_SG187_0001_1_hcp-t    2.883    2.873    0.94    2.78    9.667    3    -1.489    1.394    5.11    8.337    0.562    9.307    0.848    2.2    0.911    0.118    this work
AgPd_SG187_0001_1_top-s    2.883    2.886    0.89    2.26    7.0    1    -3.695    1.004    5.11    7.576    1.304    10.041    0.933    1.93    0.027    0.234    this work
AgPd_SG187_0001_1_top-t    2.883    2.864    0.94    2.78    9.0    1    -1.463    1.273    5.11    8.337    0.562    9.298    0.797    2.2    1.01    0.114    this work
AgPd_SG187_0001_2_bridge1-s    2.883    2.828    0.94    2.78    8.0    2    -1.434    1.301    5.104    8.337    0.562    9.369    0.765    2.2    1.055    0.125    this work
