Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
C_Ag_211_fcc-s    5.653    2.985    2.963    0.89    2.26    8.333    3    -4.024    1.059    4.427    7.576    1.304    9.85    1.116    1.93    0.037    0.284    10.1021/acscatal.8b04478
C_Ag_211_four-fold-s    5.1    2.985    2.965    0.89    2.26    8.5    4    -4.042    1.034    4.427    7.576    1.304    9.847    1.128    1.93    0.037    0.276    10.1021/acscatal.8b04478
C_Ag_211_hcp-s    5.642    2.985    2.955    0.89    2.26    7.667    3    -4.016    0.996    4.427    7.576    1.304    9.853    1.084    1.93    0.034    0.287    10.1021/acscatal.8b04478
C_Ag_211_hcp-t    5.676    2.985    2.976    0.89    2.26    9.333    3    -4.047    1.126    4.427    7.576    1.304    9.841    1.167    1.93    0.04    0.275    10.1021/acscatal.8b04478
C_Ag@Cu_211_fcc-s-1    4.678    2.603    2.646    0.743    1.42    8.333    3    -2.98    1.057    4.685    7.676    1.259    9.741    1.128    1.91    0.084    0.255    10.1021/acscatal.8b04478
C_Ag@Cu_211_fcc-s-2    4.069    2.603    2.576    0.67    1.0    8.333    3    -2.375    1.035    4.685    7.726    1.236    9.756    1.219    1.9    0.099    0.262    10.1021/acscatal.8b04478
C_Ag@Cu_211_four-fold-s-1    3.806    2.603    2.621    0.725    1.315    8.5    4    -2.855    1.096    4.685    7.688    1.253    9.765    1.167    1.908    0.085    0.25    10.1021/acscatal.8b04478
C_Ag@Cu_211_four-fold-s-2    3.378    2.603    2.575    0.67    1.0    8.5    4    -2.394    1.056    4.685    7.726    1.236    9.764    1.23    1.9    0.097    0.257    10.1021/acscatal.8b04478
C_Ag@Cu_211_hcp-s-2    4.181    2.603    2.559    0.67    1.0    7.667    3    -2.348    1.021    4.685    7.726    1.236    9.782    1.194    1.9    0.094    0.274    10.1021/acscatal.8b04478
C_Ag@Cu_211_hcp-t-1    4.219    2.603    2.602    0.67    1.0    9.333    3    -2.429    1.061    4.685    7.726    1.236    9.728    1.272    1.9    0.104    0.245    10.1021/acscatal.8b04478
C_Ag@Cu_211_hcp-t-2    4.311    2.603    2.591    0.67    1.0    9.333    3    -2.427    1.088    4.685    7.726    1.236    9.734    1.257    1.9    0.105    0.24    10.1021/acscatal.8b04478
C_AgAu_211_four-fold-s-1    5.136    2.973    2.961    0.95    2.805    8.5    4    -3.602    1.221    4.839    8.401    1.807    9.765    1.185    2.235    0.061    0.25    10.1021/acscatal.8b04478
C_AgAu_211_four-fold-s-2    4.72    2.973    2.961    0.95    2.805    8.5    4    -3.602    1.221    4.839    8.401    1.807    9.765    1.185    2.235    0.061    0.25    10.1021/acscatal.8b04478
C_AgAu_211_hcp-s-1    4.868    2.973    2.949    0.97    2.987    7.667    3    -3.457    1.215    4.839    8.676    1.974    9.763    1.186    2.337    0.064    0.269    10.1021/acscatal.8b04478
C_AgAu_211_hcp-t-2    5.775    2.973    2.976    0.93    2.623    9.333    3    -3.715    1.246    4.839    8.126    1.639    9.768    1.187    2.133    0.06    0.233    10.1021/acscatal.8b04478
C_AgPd_211_four-fold-s-1    2.719    2.883    2.88    0.915    2.52    8.5    4    -2.409    1.21    4.895    7.957    0.933    9.645    0.868    2.065    0.275    0.173    10.1021/acscatal.8b04478
C_AgPd_211_four-fold-s-2    3.462    2.883    2.88    0.915    2.52    8.5    4    -2.409    1.21    4.895    7.957    0.933    9.645    0.868    2.065    0.275    0.173    10.1021/acscatal.8b04478
C_AgPd_211_hcp-s-1    4.629    2.883    2.875    0.907    2.433    7.667    3    -2.732    1.111    4.895    7.83    1.057    9.731    0.856    2.02    0.191    0.184    10.1021/acscatal.8b04478
C_AgPd_211_hcp-s-2    3.282    2.883    2.866    0.923    2.607    7.667    3    -2.026    1.214    4.895    8.083    0.809    9.584    0.803    2.11    0.379    0.179    10.1021/acscatal.8b04478
C_AgPd_211_hcp-t-1    3.277    2.883    2.88    0.923    2.607    9.333    3    -2.108    1.318    4.895    8.083    0.809    9.551    0.885    2.11    0.394    0.16    10.1021/acscatal.8b04478
C_Au_211_bridge2-s    5.139    2.99    2.936    1.01    3.35    7.0    2    -3.127    1.323    5.28    9.226    2.309    9.732    1.2    2.54    0.079    0.26    10.1021/acscatal.8b04478
C_Au_211_fcc-s    4.725    2.99    2.967    1.01    3.35    8.333    3    -3.182    1.396    5.28    9.226    2.309    9.734    1.254    2.54    0.091    0.242    10.1021/acscatal.8b04478
C_Au_211_four-fold-s    4.712    2.99    2.967    1.01    3.35    8.5    4    -3.223    1.395    5.28    9.226    2.309    9.718    1.257    2.54    0.088    0.237    10.1021/acscatal.8b04478
C_Au_211_hcp-s    4.627    2.99    2.951    1.01    3.35    7.667    3    -3.155    1.359    5.28    9.226    2.309    9.734    1.227    2.54    0.085    0.251    10.1021/acscatal.8b04478
C_Au_211_hcp-t    4.92    2.99    2.988    1.01    3.35    9.333    3    -3.246    1.444    5.28    9.226    2.309    9.724    1.292    2.54    0.098    0.227    10.1021/acscatal.8b04478
C_Au@Ni_211_bridge2-s-1    3.93    2.502    2.572    0.86    2.255    7.0    2    -2.302    1.599    5.04    8.433    1.733    9.171    1.166    2.225    1.134    0.212    this work
C_Au@Ni_211_fcc-s-2    2.24    2.502    2.483    0.71    1.16    8.333    3    -1.218    1.763    5.04    7.64    1.157    8.723    1.235    1.91    1.988    0.167    10.1021/acscatal.8b04478
C_Au@Ni_211_fcc-t-1    2.022    2.502    2.508    0.71    1.16    9.667    3    -1.261    1.864    5.04    7.64    1.157    8.691    1.303    1.91    1.856    0.126    10.1021/acscatal.8b04478
C_Au@Ni_211_four-fold-s-2    1.174    2.502    2.482    0.71    1.16    8.5    4    -1.225    1.788    5.04    7.64    1.157    8.741    1.246    1.91    1.953    0.164    10.1021/acscatal.8b04478
C_Au@Ni_211_hcp-s-2    2.041    2.502    2.468    0.71    1.16    7.667    3    -1.193    1.726    5.04    7.64    1.157    8.746    1.206    1.91    2.012    0.19    10.1021/acscatal.8b04478
C_Au@Ni_211_hcp-t-1    2.324    2.502    2.511    0.71    1.16    9.333    3    -1.235    1.826    5.04    7.64    1.157    8.689    1.283    1.91    1.907    0.137    10.1021/acscatal.8b04478
